year,global_temp,city_temp,Global 10-yr annual MA,San Diego 10-yr annual MA,,
2002,9.57,16.37,9.249,16.685,,
2003,9.53,17.1,9.315,16.709,,
2004,9.32,16.84,9.343,16.748,,
2005,9.7,16.93,9.378,16.756,,
2006,9.53,17.23,9.427,16.759,,
2007,9.73,16.8,9.48,16.693,,
2008,9.43,17.21,9.471,16.793,,
2009,9.51,17.03,9.493,16.878,,
2010,9.7,16.19,9.543,16.807,,
2011,9.52,16.26,9.554,16.796,,
2012,9.51,17.2,9.548,16.879,,
2013,9.61,17.18,9.556,16.887,,
